topic_id,n,p_supports,p_neutral,p_refutes,entropy_bits,entropy_bits_mm,k_observed,truth_direction,truth_divergence_rate
T03,28,1.0,0.0,0.0,-0.0,0.0,1,NEUTRAL,1.0
T05,28,0.32142857142857145,0.0,0.6785714285714286,0.9059282160429991,0.9316906274874449,2,REFUTES,0.3214285714285714
T10,28,0.4642857142857143,0.0,0.5357142857142857,0.996316519558962,1.0220789310034077,2,SUPPORTS,0.5357142857142857
T12,28,0.9285714285714286,0.07142857142857142,0.0,0.37123232664087563,0.39699473808532143,2,NEUTRAL,0.9285714285714286
