topic_id,n,p_supports,p_neutral,p_refutes,entropy_bits,entropy_bits_mm,k_observed,truth_direction,truth_divergence_rate
T03,29,1.0,0.0,0.0,-0.0,0.0,1,NEUTRAL,1.0
T05,30,0.03333333333333333,0.0,0.9666666666666667,0.21084230031853213,0.23488721766668152,2,REFUTES,0.033333333333333326
T10,30,0.6333333333333333,0.23333333333333334,0.13333333333333333,1.2948203552808069,1.3429101899771057,3,SUPPORTS,0.3666666666666667
T12,28,0.5357142857142857,0.4642857142857143,0.0,0.996316519558962,1.0220789310034077,2,NEUTRAL,0.5357142857142857
